network,edge_id,station_u,station_v
9_lines_245_stations,1,1,2
9_lines_245_stations,2,2,3
9_lines_245_stations,3,3,4
9_lines_245_stations,4,4,5
9_lines_245_stations,5,5,6
9_lines_245_stations,6,6,7
9_lines_245_stations,7,7,8
9_lines_245_stations,8,8,9
9_lines_245_stations,9,9,10
9_lines_245_stations,10,10,11
9_lines_245_stations,11,11,12
9_lines_245_stations,12,12,13
9_lines_245_stations,13,13,14
9_lines_245_stations,14,13,74
9_lines_245_stations,15,13,73
9_lines_245_stations,16,14,15
9_lines_245_stations,17,15,16
9_lines_245_stations,18,16,17
9_lines_245_stations,19,16,39
9_lines_245_stations,20,16,40
9_lines_245_stations,21,16,139
9_lines_245_stations,22,16,138
9_lines_245_stations,23,17,18
9_lines_245_stations,24,18,19
9_lines_245_stations,25,18,193
9_lines_245_stations,26,18,192
9_lines_245_stations,27,19,20
9_lines_245_stations,28,19,38
9_lines_245_stations,29,19,115
9_lines_245_stations,30,20,21
9_lines_245_stations,31,21,22
9_lines_245_stations,32,21,191
9_lines_245_stations,33,21,80
9_lines_245_stations,34,21,233
9_lines_245_stations,35,21,115
9_lines_245_stations,36,22,23
9_lines_245_stations,37,22,80
9_lines_245_stations,38,22,97
9_lines_245_stations,39,23,24
9_lines_245_stations,40,24,25
9_lines_245_stations,41,24,83
9_lines_245_stations,42,25,26
9_lines_245_stations,43,26,27
9_lines_245_stations,44,27,28
9_lines_245_stations,45,29,30
9_lines_245_stations,46,30,31
9_lines_245_stations,47,31,32
9_lines_245_stations,48,32,33
9_lines_245_stations,49,33,34
9_lines_245_stations,50,34,35
9_lines_245_stations,51,35,36
9_lines_245_stations,52,36,37
9_lines_245_stations,53,36,77
9_lines_245_stations,54,36,78
9_lines_245_stations,55,37,38
9_lines_245_stations,56,37,232
9_lines_245_stations,57,37,191
9_lines_245_stations,58,38,39
9_lines_245_stations,59,38,114
9_lines_245_stations,60,40,41
9_lines_245_stations,61,40,194
9_lines_245_stations,62,40,195
9_lines_245_stations,63,41,42
9_lines_245_stations,64,42,43
9_lines_245_stations,65,43,44
9_lines_245_stations,66,43,88
9_lines_245_stations,67,43,89
9_lines_245_stations,68,43,172
9_lines_245_stations,69,43,171
9_lines_245_stations,70,44,45
9_lines_245_stations,71,45,46
9_lines_245_stations,72,46,47
9_lines_245_stations,73,46,124
9_lines_245_stations,74,46,125
9_lines_245_stations,75,47,48
9_lines_245_stations,76,48,49
9_lines_245_stations,77,49,50
9_lines_245_stations,78,50,51
9_lines_245_stations,79,51,52
9_lines_245_stations,80,52,53
9_lines_245_stations,81,53,54
9_lines_245_stations,82,54,55
9_lines_245_stations,83,55,56
9_lines_245_stations,84,56,57
9_lines_245_stations,85,58,59
9_lines_245_stations,86,59,60
9_lines_245_stations,87,60,61
9_lines_245_stations,88,61,62
9_lines_245_stations,89,62,63
9_lines_245_stations,90,63,64
9_lines_245_stations,91,64,65
9_lines_245_stations,92,65,66
9_lines_245_stations,93,66,67
9_lines_245_stations,94,67,68
9_lines_245_stations,95,68,69
9_lines_245_stations,96,69,70
9_lines_245_stations,97,70,71
9_lines_245_stations,98,71,72
9_lines_245_stations,99,71,135
9_lines_245_stations,100,71,136
9_lines_245_stations,101,72,73
9_lines_245_stations,102,73,84
9_lines_245_stations,103,74,75
9_lines_245_stations,104,75,76
9_lines_245_stations,105,75,112
9_lines_245_stations,106,75,113
9_lines_245_stations,107,76,77
9_lines_245_stations,108,76,231
9_lines_245_stations,109,76,232
9_lines_245_stations,110,78,79
9_lines_245_stations,111,79,80
9_lines_245_stations,112,79,190
9_lines_245_stations,113,79,191
9_lines_245_stations,114,80,81
9_lines_245_stations,115,80,166
9_lines_245_stations,116,81,82
9_lines_245_stations,117,82,83
9_lines_245_stations,118,84,85
9_lines_245_stations,119,84,196
9_lines_245_stations,120,84,197
9_lines_245_stations,121,85,86
9_lines_245_stations,122,86,87
9_lines_245_stations,123,87,88
9_lines_245_stations,124,89,90
9_lines_245_stations,125,90,91
9_lines_245_stations,126,91,92
9_lines_245_stations,127,92,93
9_lines_245_stations,128,93,94
9_lines_245_stations,129,93,141
9_lines_245_stations,130,93,142
9_lines_245_stations,131,94,95
9_lines_245_stations,132,95,96
9_lines_245_stations,133,96,97
9_lines_245_stations,134,96,115
9_lines_245_stations,135,96,116
9_lines_245_stations,136,98,99
9_lines_245_stations,137,99,100
9_lines_245_stations,138,100,101
9_lines_245_stations,139,101,102
9_lines_245_stations,140,102,103
9_lines_245_stations,141,103,104
9_lines_245_stations,142,104,105
