network,station_id,demand_probability
9_lines_245_stations,1,0.05
9_lines_245_stations,2,0.05
9_lines_245_stations,3,0.05
9_lines_245_stations,4,0.05
9_lines_245_stations,5,0.08
9_lines_245_stations,6,0.08
9_lines_245_stations,7,0.08
9_lines_245_stations,8,0.1
9_lines_245_stations,9,0.1
9_lines_245_stations,10,0.15
9_lines_245_stations,11,0.18
9_lines_245_stations,12,0.2
9_lines_245_stations,13,0.25
9_lines_245_stations,14,0.2
9_lines_245_stations,15,0.2
9_lines_245_stations,16,0.3
9_lines_245_stations,17,0.25
9_lines_245_stations,18,0.25
9_lines_245_stations,19,0.2
9_lines_245_stations,20,0.2
9_lines_245_stations,21,0.25
9_lines_245_stations,22,0.25
9_lines_245_stations,23,0.25
9_lines_245_stations,24,0.25
9_lines_245_stations,25,0.2
9_lines_245_stations,26,0.2
9_lines_245_stations,27,0.15
9_lines_245_stations,28,0.15
9_lines_245_stations,29,0.05
9_lines_245_stations,30,0.3
9_lines_245_stations,31,0.25
9_lines_245_stations,32,0.15
9_lines_245_stations,33,0.15
9_lines_245_stations,34,0.15
9_lines_245_stations,35,0.2
9_lines_245_stations,36,0.2
9_lines_245_stations,37,0.2
9_lines_245_stations,38,0.2
9_lines_245_stations,39,0.25
9_lines_245_stations,40,0.25
9_lines_245_stations,41,0.2
9_lines_245_stations,42,0.2
9_lines_245_stations,43,0.2
9_lines_245_stations,44,0.2
9_lines_245_stations,45,0.2
9_lines_245_stations,46,0.15
9_lines_245_stations,47,0.2
9_lines_245_stations,48,0.15
9_lines_245_stations,49,0.15
9_lines_245_stations,50,0.1
9_lines_245_stations,51,0.1
9_lines_245_stations,52,0.1
9_lines_245_stations,53,0.1
9_lines_245_stations,54,0.05
9_lines_245_stations,55,0.05
9_lines_245_stations,56,0.05
9_lines_245_stations,57,0.2
9_lines_245_stations,58,0.02
9_lines_245_stations,59,0.02
9_lines_245_stations,60,0.02
9_lines_245_stations,61,0.03
9_lines_245_stations,62,0.03
9_lines_245_stations,63,0.03
9_lines_245_stations,64,0.03
9_lines_245_stations,65,0.03
9_lines_245_stations,66,0.04
9_lines_245_stations,67,0.05
9_lines_245_stations,68,0.06
9_lines_245_stations,69,0.08
9_lines_245_stations,70,0.08
9_lines_245_stations,71,0.1
9_lines_245_stations,72,0.08
9_lines_245_stations,73,0.2
9_lines_245_stations,74,0.2
9_lines_245_stations,75,0.2
9_lines_245_stations,76,0.2
9_lines_245_stations,77,0.2
9_lines_245_stations,78,0.2
9_lines_245_stations,79,0.2
9_lines_245_stations,80,0.2
9_lines_245_stations,81,0.1
9_lines_245_stations,82,0.1
9_lines_245_stations,83,0.1
9_lines_245_stations,84,0.2
9_lines_245_stations,85,0.15
9_lines_245_stations,86,0.2
9_lines_245_stations,87,0.18
9_lines_245_stations,88,0.2
9_lines_245_stations,89,0.1
9_lines_245_stations,90,0.2
9_lines_245_stations,91,0.15
9_lines_245_stations,92,0.15
9_lines_245_stations,93,0.2
9_lines_245_stations,94,0.15
9_lines_245_stations,95,0.2
9_lines_245_stations,96,0.18
9_lines_245_stations,97,0.2
9_lines_245_stations,98,0.03
9_lines_245_stations,99,0.03
9_lines_245_stations,100,0.03
9_lines_245_stations,101,0.03
9_lines_245_stations,102,0.09
9_lines_245_stations,103,0.05
9_lines_245_stations,104,0.08
9_lines_245_stations,105,0.06
9_lines_245_stations,106,0.06
9_lines_245_stations,107,0.06
9_lines_245_stations,108,0.07
9_lines_245_stations,109,0.07
9_lines_245_stations,110,0.05
9_lines_245_stations,111,0.08
9_lines_245_stations,112,0.08
9_lines_245_stations,113,0.1
9_lines_245_stations,114,0.1
9_lines_245_stations,115,0.15
9_lines_245_stations,116,0.13
9_lines_245_stations,117,0.12
9_lines_245_stations,118,0.1
9_lines_245_stations,119,0.1
9_lines_245_stations,120,0.1
9_lines_245_stations,121,0.1
9_lines_245_stations,122,0.1
9_lines_245_stations,123,0.1
9_lines_245_stations,124,0.1
9_lines_245_stations,125,0.08
9_lines_245_stations,126,0.05
9_lines_245_stations,127,0.05
9_lines_245_stations,128,0.05
9_lines_245_stations,129,0.08
9_lines_245_stations,130,0.05
9_lines_245_stations,131,0.05
9_lines_245_stations,132,0.05
9_lines_245_stations,133,0.1
9_lines_245_stations,134,0.15
9_lines_245_stations,135,0.1
9_lines_245_stations,136,0.12
9_lines_245_stations,137,0.12
9_lines_245_stations,138,0.12
9_lines_245_stations,139,0.15
9_lines_245_stations,140,0.15
9_lines_245_stations,141,0.2
9_lines_245_stations,142,0.16
9_lines_245_stations,143,0.1
9_lines_245_stations,144,0.1
9_lines_245_stations,145,0.15
9_lines_245_stations,146,0.1
9_lines_245_stations,147,0.1
9_lines_245_stations,148,0.08
9_lines_245_stations,149,0.08
9_lines_245_stations,150,0.05
9_lines_245_stations,151,0.05
9_lines_245_stations,152,0.12
9_lines_245_stations,153,0.05
9_lines_245_stations,154,0.08
9_lines_245_stations,155,0.1
9_lines_245_stations,156,0.1
9_lines_245_stations,157,0.08
9_lines_245_stations,158,0.08
9_lines_245_stations,159,0.06
9_lines_245_stations,160,0.06
9_lines_245_stations,161,0.07
9_lines_245_stations,162,0.08
9_lines_245_stations,163,0.09
9_lines_245_stations,164,0.09
9_lines_245_stations,165,0.09
9_lines_245_stations,166,0.1
9_lines_245_stations,167,0.15
9_lines_245_stations,168,0.15
9_lines_245_stations,169,0.15
9_lines_245_stations,170,0.15
9_lines_245_stations,171,0.13
9_lines_245_stations,172,0.1
9_lines_245_stations,173,0.08
9_lines_245_stations,174,0.08
9_lines_245_stations,175,0.08
9_lines_245_stations,176,0.07
9_lines_245_stations,177,0.07
9_lines_245_stations,178,0.06
9_lines_245_stations,179,0.06
9_lines_245_stations,180,0.05
9_lines_245_stations,181,0.05
9_lines_245_stations,182,0.2
9_lines_245_stations,183,0.15
9_lines_245_stations,184,0.05
9_lines_245_stations,185,0.05
9_lines_245_stations,186,0.08
9_lines_245_stations,187,0.1
9_lines_245_stations,188,0.1
9_lines_245_stations,189,0.1
9_lines_245_stations,190,0.1
9_lines_245_stations,191,0.1
9_lines_245_stations,192,0.1
9_lines_245_stations,193,0.1
9_lines_245_stations,194,0.15
9_lines_245_stations,195,0.1
9_lines_245_stations,196,0.12
9_lines_245_stations,197,0.1
9_lines_245_stations,198,0.1
9_lines_245_stations,199,0.08
9_lines_245_stations,200,0.1
9_lines_245_stations,201,0.1
9_lines_245_stations,202,0.08
9_lines_245_stations,203,0.08
9_lines_245_stations,204,0.08
9_lines_245_stations,205,0.07
9_lines_245_stations,206,0.06
9_lines_245_stations,207,0.06
9_lines_245_stations,208,0.05
9_lines_245_stations,209,0.05
9_lines_245_stations,210,0.05
9_lines_245_stations,211,0.05
9_lines_245_stations,212,0.05
9_lines_245_stations,213,0.05
9_lines_245_stations,214,0.05
9_lines_245_stations,215,0.05
9_lines_245_stations,216,0.05
9_lines_245_stations,217,0.1
9_lines_245_stations,218,0.1
9_lines_245_stations,219,0.08
9_lines_245_stations,220,0.1
9_lines_245_stations,221,0.1
9_lines_245_stations,222,0.08
9_lines_245_stations,223,0.08
9_lines_245_stations,224,0.08
9_lines_245_stations,225,0.08
9_lines_245_stations,226,0.09
9_lines_245_stations,227,0.09
