network,edge_id,station_u,station_v
3_lines_80_stations,1,1,2
3_lines_80_stations,2,2,3
3_lines_80_stations,3,3,4
3_lines_80_stations,4,4,5
3_lines_80_stations,5,5,6
3_lines_80_stations,6,6,7
3_lines_80_stations,7,7,8
3_lines_80_stations,8,8,9
3_lines_80_stations,9,9,10
3_lines_80_stations,10,10,11
3_lines_80_stations,11,11,12
3_lines_80_stations,12,12,13
3_lines_80_stations,13,13,14
3_lines_80_stations,14,13,80
3_lines_80_stations,15,13,59
3_lines_80_stations,16,14,15
3_lines_80_stations,17,15,16
3_lines_80_stations,18,16,17
3_lines_80_stations,19,16,40
3_lines_80_stations,20,16,41
3_lines_80_stations,21,17,18
3_lines_80_stations,22,18,19
3_lines_80_stations,23,19,20
3_lines_80_stations,24,20,21
3_lines_80_stations,25,21,22
3_lines_80_stations,26,22,23
3_lines_80_stations,27,22,73
3_lines_80_stations,28,22,74
3_lines_80_stations,29,23,24
3_lines_80_stations,30,24,25
3_lines_80_stations,31,25,26
3_lines_80_stations,32,26,27
3_lines_80_stations,33,27,28
3_lines_80_stations,34,29,30
3_lines_80_stations,35,30,31
3_lines_80_stations,36,31,32
3_lines_80_stations,37,32,33
3_lines_80_stations,38,33,34
3_lines_80_stations,39,34,35
3_lines_80_stations,40,35,36
3_lines_80_stations,41,36,37
3_lines_80_stations,42,36,76
3_lines_80_stations,43,36,77
3_lines_80_stations,44,37,38
3_lines_80_stations,45,38,39
3_lines_80_stations,46,39,40
3_lines_80_stations,47,41,42
3_lines_80_stations,48,42,43
3_lines_80_stations,49,43,44
3_lines_80_stations,50,44,45
3_lines_80_stations,51,44,64
3_lines_80_stations,52,44,65
3_lines_80_stations,53,45,46
3_lines_80_stations,54,46,47
3_lines_80_stations,55,47,48
3_lines_80_stations,56,48,49
3_lines_80_stations,57,49,50
3_lines_80_stations,58,50,51
3_lines_80_stations,59,51,52
3_lines_80_stations,60,52,53
3_lines_80_stations,61,53,54
3_lines_80_stations,62,54,55
3_lines_80_stations,63,55,56
3_lines_80_stations,64,56,57
3_lines_80_stations,65,57,58
3_lines_80_stations,66,59,60
3_lines_80_stations,67,60,61
3_lines_80_stations,68,61,62
3_lines_80_stations,69,62,63
3_lines_80_stations,70,63,64
3_lines_80_stations,71,65,66
3_lines_80_stations,72,66,67
3_lines_80_stations,73,67,68
3_lines_80_stations,74,68,69
3_lines_80_stations,75,69,70
3_lines_80_stations,76,70,71
3_lines_80_stations,77,71,72
3_lines_80_stations,78,72,73
3_lines_80_stations,79,74,75
3_lines_80_stations,80,75,76
3_lines_80_stations,81,77,78
3_lines_80_stations,82,78,79
3_lines_80_stations,83,79,80
