network,station_id,demand_probability
3_lines_80_stations,1,0.05
3_lines_80_stations,2,0.05
3_lines_80_stations,3,0.05
3_lines_80_stations,4,0.05
3_lines_80_stations,5,0.08
3_lines_80_stations,6,0.08
3_lines_80_stations,7,0.08
3_lines_80_stations,8,0.1
3_lines_80_stations,9,0.1
3_lines_80_stations,10,0.15
3_lines_80_stations,11,0.18
3_lines_80_stations,12,0.2
3_lines_80_stations,13,0.25
3_lines_80_stations,14,0.2
3_lines_80_stations,15,0.2
3_lines_80_stations,16,0.3
3_lines_80_stations,17,0.25
3_lines_80_stations,18,0.25
3_lines_80_stations,19,0.2
3_lines_80_stations,20,0.2
3_lines_80_stations,21,0.25
3_lines_80_stations,22,0.25
3_lines_80_stations,23,0.25
3_lines_80_stations,24,0.25
3_lines_80_stations,25,0.2
3_lines_80_stations,26,0.2
3_lines_80_stations,27,0.15
3_lines_80_stations,28,0.15
3_lines_80_stations,29,0.05
3_lines_80_stations,30,0.3
3_lines_80_stations,31,0.25
3_lines_80_stations,32,0.15
3_lines_80_stations,33,0.15
3_lines_80_stations,34,0.15
3_lines_80_stations,35,0.2
3_lines_80_stations,36,0.2
3_lines_80_stations,37,0.2
3_lines_80_stations,38,0.2
3_lines_80_stations,39,0.25
3_lines_80_stations,40,0.3
3_lines_80_stations,41,0.25
3_lines_80_stations,42,0.2
3_lines_80_stations,43,0.2
3_lines_80_stations,44,0.2
3_lines_80_stations,45,0.2
3_lines_80_stations,46,0.2
3_lines_80_stations,47,0.15
3_lines_80_stations,48,0.2
3_lines_80_stations,49,0.15
3_lines_80_stations,50,0.15
3_lines_80_stations,51,0.1
3_lines_80_stations,52,0.1
3_lines_80_stations,53,0.1
3_lines_80_stations,54,0.1
3_lines_80_stations,55,0.05
3_lines_80_stations,56,0.05
3_lines_80_stations,57,0.05
3_lines_80_stations,58,0.2
3_lines_80_stations,59,0.2
3_lines_80_stations,60,0.2
3_lines_80_stations,61,0.15
3_lines_80_stations,62,0.2
3_lines_80_stations,63,0.18
3_lines_80_stations,64,0.2
3_lines_80_stations,65,0.1
3_lines_80_stations,66,0.2
3_lines_80_stations,67,0.15
3_lines_80_stations,68,0.15
3_lines_80_stations,69,0.2
3_lines_80_stations,70,0.15
3_lines_80_stations,71,0.2
3_lines_80_stations,72,0.18
3_lines_80_stations,73,0.2
3_lines_80_stations,74,0.2
3_lines_80_stations,75,0.2
3_lines_80_stations,76,0.2
3_lines_80_stations,77,0.2
3_lines_80_stations,78,0.2
3_lines_80_stations,79,0.2
3_lines_80_stations,80,0.2
