network,method,algorithm_variant,M,selected_depots,WMRD,stage1_runtime_seconds_mean,stage1_runtime_seconds_min,stage1_runtime_seconds_max,runtime_observations
9_lines_245_stations,ea_ra,enumeration,1,[38],211.41,0.0021,0.0021,0.0021,7
9_lines_245_stations,heuristic,heuristic,1,[38],211.41,0.017,0.0164,0.0174,7
9_lines_245_stations,exact,exact,1,[38],211.41,2.1353,2.1353,2.1353,7
9_lines_245_stations,ea_ra,enumeration,2,"[21,40]",172.45,0.2001,0.2001,0.2001,7
9_lines_245_stations,heuristic,heuristic,2,"[21,40]",172.45,0.0191,0.0191,0.0192,7
9_lines_245_stations,exact,exact,2,"[21,40]",172.45,1.9791,1.9791,1.9791,7
9_lines_245_stations,ea_ra,enumeration,3,"[13,21,43]",148.1,16.2921,16.2921,16.2921,7
9_lines_245_stations,heuristic,heuristic,3,"[13,21,43]",148.1,0.0212,0.021,0.0216,7
9_lines_245_stations,exact,exact,3,"[13,21,43]",148.1,1.8467,1.8467,1.8467,7
9_lines_245_stations,ea_ra,enumeration,4,"[13,21,43,221]",133.76,2609.7949,2609.7949,2609.7949,7
9_lines_245_stations,heuristic,heuristic,4,"[21,43,76,134]",137.48,0.0233,0.023,0.024,7
9_lines_245_stations,exact,exact,4,"[13,21,43,221]",133.76,1.8403,1.8403,1.8403,7
9_lines_245_stations,ea_ra,random,5,"[21,31,44,73,220]",125.98,1523.4768,1523.4768,1523.4768,7
9_lines_245_stations,heuristic,heuristic,5,"[13,21,31,43,221]",124.07,0.0381,0.037,0.042,7
9_lines_245_stations,exact,exact,5,"[13,21,31,43,221]",124.07,1.7788,1.7788,1.7788,7
9_lines_245_stations,ea_ra,random,6,"[21,31,45,73,143,223]",118.11,1295.2387,1295.2387,1295.2387,7
9_lines_245_stations,heuristic,heuristic,6,"[13,21,31,43,145,221]",115.05,0.041,0.0405,0.0417,7
9_lines_245_stations,exact,exact,6,"[13,21,31,43,145,221]",115.05,1.7312,1.7312,1.7312,7
9_lines_245_stations,ea_ra,random,7,"[37,44,73,80,145,182,222]",111.9,1249.6002,1249.6002,1249.6002,7
9_lines_245_stations,heuristic,heuristic,7,"[13,21,31,43,134,145,221]",107.33,0.0455,0.0444,0.0492,7
9_lines_245_stations,exact,exact,7,"[13,21,31,43,134,145,221]",107.33,2.0605,2.0605,2.0605,7
9_lines_245_stations,ea_ra,random,8,"[13,31,43,71,115,119,162,222]",105.06,1247.2334,1247.2334,1247.2334,7
9_lines_245_stations,heuristic,heuristic,8,"[16,21,31,43,75,134,145,221]",99.86,0.0487,0.0475,0.0495,7
9_lines_245_stations,exact,exact,8,"[13,21,31,43,134,145,156,221]",99.75,1.9958,1.9958,1.9958,7
9_lines_245_stations,ea_ra,random,9,"[13,22,31,43,75,105,145,156,218]",100.3,1249.8566,1249.8566,1249.8566,7
9_lines_245_stations,heuristic,heuristic,9,"[16,21,31,43,75,134,145,156,221]",92.28,0.0537,0.0528,0.0584,7
9_lines_245_stations,exact,exact,9,"[16,21,31,43,75,134,145,156,221]",92.28,1.7297,1.7297,1.7297,7
9_lines_245_stations,ea_ra,random,10,"[13,16,37,43,53,145,158,182,199,219]",93.58,1298.9026,1298.9026,1298.9026,7
9_lines_245_stations,heuristic,heuristic,10,"[16,21,31,43,52,75,134,145,156,221]",85.53,0.0579,0.0573,0.059,7
9_lines_245_stations,exact,exact,10,"[16,21,31,43,52,75,134,145,156,221]",85.53,1.7216,1.7216,1.7216,7
