network,method,algorithm_variant,M,T,stage2_fixed_depots,technician_allocation,system_reliability,stage2_runtime_seconds
9_lines_245_stations,ea_ra,enumeration,1,10,[38],[10],3.99E-05,0.236
9_lines_245_stations,heuristic,heuristic,1,10,[38],[10],3.99E-05,0.2412
9_lines_245_stations,exact,exact,1,10,[38],[10],3.99E-05,0.261
9_lines_245_stations,ea_ra,enumeration,1,20,[38],[20],0.06533,0.2367
9_lines_245_stations,heuristic,heuristic,1,20,[38],[20],0.065329506,0.2645
9_lines_245_stations,exact,exact,1,20,[38],[20],0.06533,0.2676
9_lines_245_stations,ea_ra,enumeration,1,30,[38],[30],0.724533653,0.2373
9_lines_245_stations,heuristic,heuristic,1,30,[38],[30],0.724533653,0.2743
9_lines_245_stations,exact,exact,1,30,[38],[30],0.724534,0.273
9_lines_245_stations,ea_ra,enumeration,1,40,[38],[40],0.994075101,0.2361
9_lines_245_stations,heuristic,heuristic,1,40,[38],[40],0.994075101,0.2836
9_lines_245_stations,exact,exact,1,40,[38],[40],0.994075,0.258
9_lines_245_stations,ea_ra,enumeration,1,50,[38],[50],0.999991867,0.2349
9_lines_245_stations,heuristic,heuristic,1,50,[38],[50],0.999991852,0.2927
9_lines_245_stations,exact,exact,1,50,[38],[50],0.999992,0.261
9_lines_245_stations,ea_ra,enumeration,1,60,[38],[60],0.999999999,0.2355
9_lines_245_stations,heuristic,heuristic,1,60,[38],[60],0.999999999,0.3029
9_lines_245_stations,exact,exact,1,60,[38],[60],1,0.261
9_lines_245_stations,ea_ra,enumeration,1,70,[38],[70],1,0.236
9_lines_245_stations,heuristic,heuristic,1,70,[38],[70],1,0.3127
9_lines_245_stations,exact,exact,1,70,[38],[70],1,0.27
9_lines_245_stations,ea_ra,enumeration,2,10,"[21,40]","[5,5]",1.36E-05,0.1324
9_lines_245_stations,heuristic,heuristic,2,10,"[21,40]","[5,5]",1.36E-05,0.142
9_lines_245_stations,exact,exact,2,10,"[21,40]","[5,5]",1.36E-05,0.147
9_lines_245_stations,ea_ra,enumeration,2,20,"[21,40]","[11,9]",0.027429954,0.1426
9_lines_245_stations,heuristic,heuristic,2,20,"[21,40]","[11,9]",0.027429954,0.1526
9_lines_245_stations,exact,exact,2,20,"[21,40]","[11,9]",0.02743,0.15
9_lines_245_stations,ea_ra,enumeration,2,30,"[21,40]","[16,14]",0.482981512,0.1518
9_lines_245_stations,heuristic,heuristic,2,30,"[21,40]","[16,14]",0.482981512,0.1707
9_lines_245_stations,exact,exact,2,30,"[21,40]","[16,14]",0.482982,0.144
9_lines_245_stations,ea_ra,enumeration,2,40,"[21,40]","[21,19]",0.936986455,0.16
9_lines_245_stations,heuristic,heuristic,2,40,"[21,40]","[21,19]",0.936986455,0.1914
9_lines_245_stations,exact,exact,2,40,"[21,40]","[21,19]",0.936986,0.138
9_lines_245_stations,ea_ra,enumeration,2,50,"[21,40]","[27,23]",0.998161485,0.1661
9_lines_245_stations,heuristic,heuristic,2,50,"[21,40]","[27,23]",0.998161485,0.2091
9_lines_245_stations,exact,exact,2,50,"[21,40]","[27,23]",0.998161,0.147
9_lines_245_stations,ea_ra,enumeration,2,60,"[21,40]","[32,28]",0.999984799,0.1736
9_lines_245_stations,heuristic,heuristic,2,60,"[21,40]","[32,28]",0.999984779,0.2299
9_lines_245_stations,exact,exact,2,60,"[21,40]","[32,28]",0.999985,0.141
9_lines_245_stations,ea_ra,enumeration,2,70,"[21,40]","[37,33]",0.999999958,0.1841
9_lines_245_stations,heuristic,heuristic,2,70,"[21,40]","[37,33]",0.999999957,0.2472
9_lines_245_stations,exact,exact,2,70,"[21,40]","[37,33]",0.999999957,0.141
9_lines_245_stations,ea_ra,enumeration,3,10,"[13,21,43]","[4,4,2]",6.43E-06,0.3364
9_lines_245_stations,heuristic,heuristic,3,10,"[13,21,43]","[4,4,2]",6.43E-06,0.112
9_lines_245_stations,exact,exact,3,10,"[13,21,43]","[4,4,2]",6.43E-06,0.105
9_lines_245_stations,ea_ra,enumeration,3,20,"[13,21,43]","[8,8,4]",0.013647474,0.4649
9_lines_245_stations,heuristic,heuristic,3,20,"[13,21,43]","[8,8,4]",0.013647474,0.14
9_lines_245_stations,exact,exact,3,20,"[13,21,43]","[8,8,4]",0.013647,0.108
9_lines_245_stations,ea_ra,enumeration,3,30,"[13,21,43]","[11,13,6]",0.326994908,0.6929
