network,method,algorithm_variant,M,T,stage1_runtime_seconds,stage2_runtime_seconds,total_runtime_seconds
9_lines_245_stations,ea_ra,enumeration,1,10,0.0021,0.2360,0.2381
9_lines_245_stations,heuristic,heuristic,1,10,0.0164,0.2412,0.2576
9_lines_245_stations,exact,exact,1,10,2.1353,0.2610,2.3963
9_lines_245_stations,ea_ra,enumeration,1,20,0.0021,0.2367,0.2388
9_lines_245_stations,heuristic,heuristic,1,20,0.0174,0.2645,0.2819
9_lines_245_stations,exact,exact,1,20,2.1353,0.2676,2.4029
9_lines_245_stations,ea_ra,enumeration,1,30,0.0021,0.2373,0.2394
9_lines_245_stations,heuristic,heuristic,1,30,0.0172,0.2743,0.2915
9_lines_245_stations,exact,exact,1,30,2.1353,0.2730,2.4083
9_lines_245_stations,ea_ra,enumeration,1,40,0.0021,0.2361,0.2382
9_lines_245_stations,heuristic,heuristic,1,40,0.0171,0.2836,0.3007
9_lines_245_stations,exact,exact,1,40,2.1353,0.2580,2.3933
9_lines_245_stations,ea_ra,enumeration,1,50,0.0021,0.2349,0.2370
9_lines_245_stations,heuristic,heuristic,1,50,0.0174,0.2927,0.3101
9_lines_245_stations,exact,exact,1,50,2.1353,0.2610,2.3963
9_lines_245_stations,ea_ra,enumeration,1,60,0.0021,0.2355,0.2376
9_lines_245_stations,heuristic,heuristic,1,60,0.0172,0.3029,0.3201
9_lines_245_stations,exact,exact,1,60,2.1353,0.2610,2.3963
9_lines_245_stations,ea_ra,enumeration,1,70,0.0021,0.2360,0.2381
9_lines_245_stations,heuristic,heuristic,1,70,0.0164,0.3127,0.3291
9_lines_245_stations,exact,exact,1,70,2.1353,0.2700,2.4053
9_lines_245_stations,ea_ra,enumeration,2,10,0.2001,0.1324,0.3325
9_lines_245_stations,heuristic,heuristic,2,10,0.0191,0.1420,0.1611
9_lines_245_stations,exact,exact,2,10,1.9791,0.1470,2.1261
9_lines_245_stations,ea_ra,enumeration,2,20,0.2001,0.1426,0.3427
9_lines_245_stations,heuristic,heuristic,2,20,0.0191,0.1526,0.1717
9_lines_245_stations,exact,exact,2,20,1.9791,0.1500,2.1291
9_lines_245_stations,ea_ra,enumeration,2,30,0.2001,0.1518,0.3519
9_lines_245_stations,heuristic,heuristic,2,30,0.0191,0.1707,0.1898
9_lines_245_stations,exact,exact,2,30,1.9791,0.1440,2.1231
9_lines_245_stations,ea_ra,enumeration,2,40,0.2001,0.1600,0.3601
9_lines_245_stations,heuristic,heuristic,2,40,0.0192,0.1914,0.2106
9_lines_245_stations,exact,exact,2,40,1.9791,0.1380,2.1171
9_lines_245_stations,ea_ra,enumeration,2,50,0.2001,0.1661,0.3662
9_lines_245_stations,heuristic,heuristic,2,50,0.0191,0.2091,0.2282
9_lines_245_stations,exact,exact,2,50,1.9791,0.1470,2.1261
9_lines_245_stations,ea_ra,enumeration,2,60,0.2001,0.1736,0.3737
9_lines_245_stations,heuristic,heuristic,2,60,0.0192,0.2299,0.2491
9_lines_245_stations,exact,exact,2,60,1.9791,0.1410,2.1201
9_lines_245_stations,ea_ra,enumeration,2,70,0.2001,0.1841,0.3842
9_lines_245_stations,heuristic,heuristic,2,70,0.0192,0.2472,0.2664
9_lines_245_stations,exact,exact,2,70,1.9791,0.1410,2.1201
9_lines_245_stations,ea_ra,enumeration,3,10,16.2921,0.3364,16.6285
9_lines_245_stations,heuristic,heuristic,3,10,0.0210,0.1120,0.1330
9_lines_245_stations,exact,exact,3,10,1.8467,0.1050,1.9517
9_lines_245_stations,ea_ra,enumeration,3,20,16.2921,0.4649,16.7570
9_lines_245_stations,heuristic,heuristic,3,20,0.0210,0.1400,0.1610
9_lines_245_stations,exact,exact,3,20,1.8467,0.1080,1.9547
9_lines_245_stations,ea_ra,enumeration,3,30,16.2921,0.6929,16.9850
9_lines_245_stations,heuristic,heuristic,3,30,0.0210,0.1700,0.1910
9_lines_245_stations,exact,exact,3,30,1.8467,0.1050,1.9517
9_lines_245_stations,ea_ra,enumeration,3,40,16.2921,1.1458,17.4379
9_lines_245_stations,heuristic,heuristic,3,40,0.0216,0.2001,0.2217
9_lines_245_stations,exact,exact,3,40,1.8467,0.1140,1.9607
9_lines_245_stations,ea_ra,enumeration,3,50,16.2921,1.2566,17.5487
9_lines_245_stations,heuristic,heuristic,3,50,0.0212,0.2294,0.2506
9_lines_245_stations,exact,exact,3,50,1.8467,0.1110,1.9577
9_lines_245_stations,ea_ra,enumeration,3,60,16.2921,1.7769,18.0690
9_lines_245_stations,heuristic,heuristic,3,60,0.0214,0.2587,0.2801
9_lines_245_stations,exact,exact,3,60,1.8467,0.1110,1.9577
9_lines_245_stations,ea_ra,enumeration,3,70,16.2921,2.3779,18.6700
9_lines_245_stations,heuristic,heuristic,3,70,0.0210,0.2888,0.3098
9_lines_245_stations,exact,exact,3,70,1.8467,0.1110,1.9577
