network,method,algorithm_variant,M,selected_depots,WMRD,stage1_runtime_seconds_mean,stage1_runtime_seconds_min,stage1_runtime_seconds_max,runtime_observations
3_lines_80_stations,ea_ra,enumeration,1,[16],87.87,0.0010,0.0010,0.0010,4
3_lines_80_stations,heuristic,heuristic,1,[16],87.87,0.0056,0.0050,0.0070,4
3_lines_80_stations,exact,exact,1,[16],87.87,1.5360,1.5360,1.5360,4
3_lines_80_stations,ea_ra,enumeration,2,"[36,44]",66.83,0.0081,0.0081,0.0081,4
3_lines_80_stations,heuristic,heuristic,2,"[16,22]",67.84,0.0062,0.0061,0.0062,4
3_lines_80_stations,exact,exact,2,"[36,44]",66.83,1.0680,1.0680,1.0680,4
3_lines_80_stations,ea_ra,enumeration,3,"[13,22,44]",52.21,0.2505,0.2505,0.2505,4
3_lines_80_stations,heuristic,heuristic,3,"[13,22,44]",52.21,0.0097,0.0091,0.0102,4
3_lines_80_stations,exact,exact,3,"[13,22,44]",52.21,0.6600,0.6600,0.6600,4
3_lines_80_stations,ea_ra,enumeration,4,"[13,22,36,44]",43.11,5.2056,5.2056,5.2056,4
3_lines_80_stations,heuristic,heuristic,4,"[13,22,36,44]",43.11,0.0071,0.0070,0.0072,4
3_lines_80_stations,exact,exact,4,"[13,22,36,44]",43.11,0.6480,0.6480,0.6480,4
3_lines_80_stations,ea_ra,enumeration,5,"[13,22,36,44,53]",36.36,85.6372,85.6372,85.6372,4
3_lines_80_stations,heuristic,heuristic,5,"[13,22,36,44,53]",36.36000000000001,0.0159,0.0151,0.0163,4
3_lines_80_stations,exact,exact,5,"[13,22,36,44,53]",36.36000000000001,0.6320,0.6320,0.6320,4
3_lines_80_stations,ea_ra,enumeration,6,"[13,16,22,32,44,53]",32.26,2428.5133,2428.5133,2428.5133,4
3_lines_80_stations,heuristic,heuristic,6,"[13,16,22,32,44,53]",32.26,0.0128,0.0122,0.0134,4
3_lines_80_stations,exact,exact,6,"[13,16,22,32,44,53]",32.26,0.6684,0.6684,0.6684,4
3_lines_80_stations,ea_ra,random,7,"[5,13,16,22,31,44,52]",29.12,825.9337,825.9337,825.9337,4
3_lines_80_stations,heuristic,heuristic,7,"[13,16,22,31,36,44,53]",28.76,0.0137,0.0130,0.0142,4
3_lines_80_stations,exact,exact,7,"[13,16,22,31,36,44,53]",28.76,0.6444,0.6444,0.6444,4
3_lines_80_stations,ea_ra,random,8,"[4,13,22,31,36,40,44,52]",26.41,1273.8080,1273.8080,1273.8080,4
3_lines_80_stations,heuristic,heuristic,8,"[6,13,16,22,31,36,44,53]",25.44,0.0100,0.0090,0.0104,4
3_lines_80_stations,exact,exact,8,"[6,13,16,22,31,36,44,53]",25.44,0.6232,0.6232,0.6232,4
3_lines_80_stations,ea_ra,random,9,"[5,13,16,22,31,36,44,56,69]",23.92,1506.5425,1506.5425,1506.5425,4
3_lines_80_stations,heuristic,heuristic,9,"[6,13,16,22,26,31,36,44,53]",23.040000000000003,0.0160,0.0154,0.0162,4
3_lines_80_stations,exact,exact,9,"[6,13,16,22,26,31,36,44,53]",23.040000000000003,0.6320,0.6320,0.6320,4
3_lines_80_stations,ea_ra,random,10,"[8,13,16,22,31,36,44,50,57,70]",21.61,1458.2544,1458.2544,1458.2544,4
3_lines_80_stations,heuristic,heuristic,10,"[6,13,16,22,26,31,36,44,53,69]",20.79,0.0171,0.0166,0.0173,4
3_lines_80_stations,exact,exact,10,"[6,13,16,22,26,31,36,44,53,69]",20.79,0.6440,0.6440,0.6440,4
