network,method,algorithm_variant,M,T,stage2_fixed_depots,technician_allocation,system_reliability,stage2_runtime_seconds
3_lines_80_stations,ea_ra,enumeration,1,10,[16],[10],0.158629708,0.0271
3_lines_80_stations,heuristic,heuristic,1,10,[16],[10],0.158629708,0.0294
3_lines_80_stations,exact,exact,1,10,[16],[10],0.158629708,0.027
3_lines_80_stations,ea_ra,enumeration,1,20,[16],[20],0.973032755,0.027
3_lines_80_stations,heuristic,heuristic,1,20,[16],[20],0.973032755,0.0332
3_lines_80_stations,exact,exact,1,20,[16],[20],0.973032755,0.027
3_lines_80_stations,ea_ra,enumeration,1,30,[16],[30],0.99999699,0.0278
3_lines_80_stations,heuristic,heuristic,1,30,[16],[30],0.999996984,0.0354
3_lines_80_stations,exact,exact,1,30,[16],[30],0.99999699,0.03
3_lines_80_stations,ea_ra,enumeration,1,40,[16],[40],1,0.0282
3_lines_80_stations,heuristic,heuristic,1,40,[16],[40],1,0.0401
3_lines_80_stations,exact,exact,1,40,[16],[40],1,0.03
3_lines_80_stations,ea_ra,enumeration,2,10,"[36,44]","[6,4]",0.081637388,0.0191
3_lines_80_stations,heuristic,heuristic,2,10,"[36,44]","[6,4]",0.081637388,0.0212
3_lines_80_stations,exact,exact,2,10,"[36,44]","[6,4]",0.081637388,0.018
3_lines_80_stations,ea_ra,enumeration,2,20,"[36,44]","[12,8]",0.862415265,0.0221
3_lines_80_stations,heuristic,heuristic,2,20,"[36,44]","[12,8]",0.862415265,0.0292
3_lines_80_stations,exact,exact,2,20,"[36,44]","[12,8]",0.862415265,0.021
3_lines_80_stations,ea_ra,enumeration,2,30,"[36,44]","[17,13]",0.999092473,0.0251
3_lines_80_stations,heuristic,heuristic,2,30,"[36,44]","[17,13]",0.999092473,0.0362
3_lines_80_stations,exact,exact,2,30,"[36,44]","[17,13]",0.999092473,0.0204
3_lines_80_stations,ea_ra,enumeration,2,40,"[36,44]","[23,17]",0.999999379,0.0302
3_lines_80_stations,heuristic,heuristic,2,40,"[36,44]","[23,17]",0.999999562,0.0451
3_lines_80_stations,exact,exact,2,40,"[36,44]","[23,17]",0.999999562,0.021
3_lines_80_stations,ea_ra,enumeration,3,10,"[13,22,44]","[3,4,3]",0.046829192,0.029
3_lines_80_stations,heuristic,heuristic,3,10,"[13,22,44]","[3,4,3]",0.046829192,0.0191
3_lines_80_stations,exact,exact,3,10,"[13,22,44]","[3,4,3]",0.046829192,0.015
