network,method,algorithm_variant,M,T,stage1_runtime_seconds,stage2_runtime_seconds,total_runtime_seconds
3_lines_80_stations,ea_ra,enumeration,1,10,0.0010,0.0271,0.0281
3_lines_80_stations,heuristic,heuristic,1,10,0.0070,0.0294,0.0364
3_lines_80_stations,exact,exact,1,10,1.5360,0.0270,1.5630
3_lines_80_stations,ea_ra,enumeration,1,20,0.0010,0.0270,0.0280
3_lines_80_stations,heuristic,heuristic,1,20,0.0050,0.0332,0.0382
3_lines_80_stations,exact,exact,1,20,1.5360,0.0270,1.5630
3_lines_80_stations,ea_ra,enumeration,1,30,0.0010,0.0278,0.0288
3_lines_80_stations,heuristic,heuristic,1,30,0.0051,0.0354,0.0405
3_lines_80_stations,exact,exact,1,30,1.5360,0.0300,1.5660
3_lines_80_stations,ea_ra,enumeration,1,40,0.0010,0.0282,0.0292
3_lines_80_stations,heuristic,heuristic,1,40,0.0051,0.0401,0.0452
3_lines_80_stations,exact,exact,1,40,1.5360,0.0300,1.5660
3_lines_80_stations,ea_ra,enumeration,2,10,0.0081,0.0191,0.0272
3_lines_80_stations,heuristic,heuristic,2,10,0.0062,0.0212,0.0274
3_lines_80_stations,exact,exact,2,10,1.0680,0.0180,1.0860
3_lines_80_stations,ea_ra,enumeration,2,20,0.0081,0.0221,0.0302
3_lines_80_stations,heuristic,heuristic,2,20,0.0062,0.0292,0.0354
3_lines_80_stations,exact,exact,2,20,1.0680,0.0210,1.0890
3_lines_80_stations,ea_ra,enumeration,2,30,0.0081,0.0251,0.0332
3_lines_80_stations,heuristic,heuristic,2,30,0.0061,0.0362,0.0423
3_lines_80_stations,exact,exact,2,30,1.0680,0.0204,1.0884
3_lines_80_stations,ea_ra,enumeration,2,40,0.0081,0.0302,0.0383
3_lines_80_stations,heuristic,heuristic,2,40,0.0061,0.0451,0.0512
3_lines_80_stations,exact,exact,2,40,1.0680,0.0210,1.0890
3_lines_80_stations,ea_ra,enumeration,3,10,0.2505,0.0290,0.2795
3_lines_80_stations,heuristic,heuristic,3,10,0.0102,0.0191,0.0293
3_lines_80_stations,exact,exact,3,10,0.6600,0.0150,0.6750
3_lines_80_stations,ea_ra,enumeration,3,20,0.2505,0.0842,0.3347
3_lines_80_stations,heuristic,heuristic,3,20,0.0101,0.0311,0.0412
3_lines_80_stations,exact,exact,3,20,0.6600,0.0150,0.6750
3_lines_80_stations,ea_ra,enumeration,3,30,0.2505,0.1826,0.4331
3_lines_80_stations,heuristic,heuristic,3,30,0.0093,0.0441,0.0534
3_lines_80_stations,exact,exact,3,30,0.6600,0.0180,0.6780
3_lines_80_stations,ea_ra,enumeration,3,40,0.2505,0.3215,0.5720
3_lines_80_stations,heuristic,heuristic,3,40,0.0091,0.0581,0.0672
3_lines_80_stations,exact,exact,3,40,0.6600,0.0180,0.6780
3_lines_80_stations,ea_ra,enumeration,4,10,5.2056,0.1320,5.3376
3_lines_80_stations,heuristic,heuristic,4,10,0.0072,0.0191,0.0263
3_lines_80_stations,exact,exact,4,10,0.6480,0.0120,0.6600
3_lines_80_stations,ea_ra,enumeration,4,20,5.2056,0.5432,5.7488
3_lines_80_stations,heuristic,heuristic,4,20,0.0070,0.0372,0.0442
3_lines_80_stations,exact,exact,4,20,0.6480,0.0150,0.6630
3_lines_80_stations,ea_ra,enumeration,4,30,5.2056,1.7842,6.9898
3_lines_80_stations,heuristic,heuristic,4,30,0.0072,0.0561,0.0633
3_lines_80_stations,exact,exact,4,30,0.6480,0.0150,0.6630
3_lines_80_stations,ea_ra,enumeration,4,40,5.2056,4.3801,9.5857
3_lines_80_stations,heuristic,heuristic,4,40,0.0070,0.0741,0.0811
3_lines_80_stations,exact,exact,4,40,0.6480,0.0180,0.6660
3_lines_80_stations,ea_ra,enumeration,5,10,85.6372,1.1279,86.7651
3_lines_80_stations,heuristic,heuristic,5,10,0.0162,0.0191,0.0353
3_lines_80_stations,exact,exact,5,10,0.6320,0.0120,0.6440
3_lines_80_stations,ea_ra,enumeration,5,20,85.6372,3.0580,88.6952
3_lines_80_stations,heuristic,heuristic,5,20,0.0151,0.0443,0.0594
3_lines_80_stations,exact,exact,5,20,0.6320,0.0120,0.6440
3_lines_80_stations,ea_ra,enumeration,5,30,85.6372,14.2345,99.8717
3_lines_80_stations,heuristic,heuristic,5,30,0.0161,0.0700,0.0861
3_lines_80_stations,exact,exact,5,30,0.6320,0.0150,0.6470
3_lines_80_stations,ea_ra,enumeration,5,40,85.6372,44.9459,130.5831
3_lines_80_stations,heuristic,heuristic,5,40,0.0163,0.0950,0.1113
3_lines_80_stations,exact,exact,5,40,0.6320,0.0180,0.6500
3_lines_80_stations,ea_ra,enumeration,6,10,2428.5133,0.0762,2428.5895
3_lines_80_stations,heuristic,heuristic,6,10,0.0122,0.0191,0.0313
3_lines_80_stations,exact,exact,6,10,0.6684,0.0114,0.6798
3_lines_80_stations,ea_ra,enumeration,6,20,2428.5133,7.3720,2435.8853
3_lines_80_stations,heuristic,heuristic,6,20,0.0131,0.0521,0.0652
3_lines_80_stations,exact,exact,6,20,0.6684,0.0150,0.6834
3_lines_80_stations,ea_ra,enumeration,6,30,2428.5133,85.5388,2514.0521
3_lines_80_stations,heuristic,heuristic,6,30,0.0124,0.0855,0.0979
3_lines_80_stations,exact,exact,6,30,0.6684,0.0150,0.6834
3_lines_80_stations,ea_ra,enumeration,6,40,2428.5133,512.2124,2940.7257
3_lines_80_stations,heuristic,heuristic,6,40,0.0134,0.1180,0.1314
3_lines_80_stations,exact,exact,6,40,0.6684,0.0180,0.6864
3_lines_80_stations,ea_ra,random,7,10,825.9337,1.5309,827.4646
3_lines_80_stations,heuristic,heuristic,7,10,0.0130,0.0182,0.0312
3_lines_80_stations,exact,exact,7,10,0.6444,0.0090,0.6534
3_lines_80_stations,ea_ra,random,7,20,825.9337,25.9456,851.8793
3_lines_80_stations,heuristic,heuristic,7,20,0.0134,0.0589,0.0723
3_lines_80_stations,exact,exact,7,20,0.6444,0.0150,0.6594
3_lines_80_stations,ea_ra,random,7,30,825.9337,301.3647,1127.2984
3_lines_80_stations,heuristic,heuristic,7,30,0.0142,0.0998,0.1140
3_lines_80_stations,exact,exact,7,30,0.6444,0.0150,0.6594
3_lines_80_stations,ea_ra,random,7,40,825.9337,2033.5752,2859.5089
3_lines_80_stations,heuristic,heuristic,7,40,0.0142,0.1416,0.1558
3_lines_80_stations,exact,exact,7,40,0.6444,0.0189,0.6633
3_lines_80_stations,ea_ra,random,8,10,1273.8080,1.6928,1275.5008
3_lines_80_stations,heuristic,heuristic,8,10,0.0102,0.0152,0.0254
3_lines_80_stations,exact,exact,8,10,0.6232,0.0117,0.6349
3_lines_80_stations,ea_ra,random,8,20,1273.8080,31.7364,1305.5444
3_lines_80_stations,heuristic,heuristic,8,20,0.0104,0.0652,0.0756
3_lines_80_stations,exact,exact,8,20,0.6232,0.0150,0.6382
3_lines_80_stations,ea_ra,random,8,30,1273.8080,988.1039,2261.9119
3_lines_80_stations,heuristic,heuristic,8,30,0.0090,0.1170,0.1260
3_lines_80_stations,exact,exact,8,30,0.6232,0.0180,0.6412
3_lines_80_stations,ea_ra,random,8,40,1273.8080,965.2606,2239.0686
3_lines_80_stations,heuristic,heuristic,8,40,0.0102,0.1665,0.1767
3_lines_80_stations,exact,exact,8,40,0.6232,0.0210,0.6442
3_lines_80_stations,ea_ra,random,9,10,1506.5425,2.8737,1509.4162
3_lines_80_stations,heuristic,heuristic,9,10,0.0162,0.0110,0.0272
3_lines_80_stations,exact,exact,9,10,0.6320,0.0090,0.6410
3_lines_80_stations,ea_ra,random,9,20,1506.5425,50.0096,1556.5521
3_lines_80_stations,heuristic,heuristic,9,20,0.0162,0.0706,0.0868
3_lines_80_stations,exact,exact,9,20,0.6320,0.0150,0.6470
3_lines_80_stations,ea_ra,random,9,30,1506.5425,1012.8939,2519.4364
3_lines_80_stations,heuristic,heuristic,9,30,0.0154,0.1306,0.1460
3_lines_80_stations,exact,exact,9,30,0.6320,0.0180,0.6500
3_lines_80_stations,ea_ra,random,9,40,1506.5425,1155.6824,2662.2249
3_lines_80_stations,heuristic,heuristic,9,40,0.0161,0.1923,0.2084
3_lines_80_stations,exact,exact,9,40,0.6320,0.0210,0.6530
3_lines_80_stations,ea_ra,random,10,10,1458.2544,3.1238,1461.3782
3_lines_80_stations,heuristic,heuristic,10,10,0.0172,0.0042,0.0214
3_lines_80_stations,exact,exact,10,10,0.6440,0.0090,0.6530
3_lines_80_stations,ea_ra,random,10,20,1458.2544,66.4727,1524.7271
3_lines_80_stations,heuristic,heuristic,10,20,0.0166,0.0752,0.0918
3_lines_80_stations,exact,exact,10,20,0.6440,0.0150,0.6590
3_lines_80_stations,ea_ra,random,10,30,1458.2544,1097.3357,2555.5901
3_lines_80_stations,heuristic,heuristic,10,30,0.0171,0.1472,0.1643
3_lines_80_stations,exact,exact,10,30,0.6440,0.0180,0.6620
3_lines_80_stations,ea_ra,random,10,40,1458.2544,1656.6948,3114.9492
3_lines_80_stations,heuristic,heuristic,10,40,0.0173,0.2194,0.2367
3_lines_80_stations,exact,exact,10,40,0.6440,0.0210,0.6650
