network,method,M,T,stage1_runtime_seconds,stage1_selected_depots,WMRD,stage2_fixed_depots,stage2_runtime_seconds,system_reliability,technician_allocation,total_runtime_seconds
3_lines_80_stations,exact,1,10,1.536,[16],87.87,[16],0.027,0.158629708,[10],1.563
3_lines_80_stations,exact,1,20,1.536,[16],87.87,[16],0.027,0.973032755,[20],1.563
3_lines_80_stations,exact,1,30,1.536,[16],87.87,[16],0.03,0.99999699,[30],1.566
3_lines_80_stations,exact,1,40,1.536,[16],87.87,[16],0.03,1,[40],1.566
3_lines_80_stations,exact,2,10,1.068,"[36,44]",66.83,"[36,44]",0.018,0.081637388,"[6,4]",1.086
3_lines_80_stations,exact,2,20,1.068,"[36,44]",66.83,"[36,44]",0.021,0.862415265,"[12,8]",1.089
3_lines_80_stations,exact,2,30,1.068,"[36,44]",66.83,"[36,44]",0.0204,0.999092473,"[17,13]",1.0884
3_lines_80_stations,exact,2,40,1.068,"[36,44]",66.83,"[36,44]",0.021,0.999999562,"[23,17]",1.089
3_lines_80_stations,exact,3,10,0.66,"[13,22,44]",52.21,"[13,22,44]",0.015,0.046829192,"[3,4,3]",0.675
3_lines_80_stations,exact,3,20,0.66,"[13,22,44]",52.21,"[13,22,44]",0.015,0.728925903,"[6,8,6]",0.675
3_lines_80_stations,exact,3,30,0.66,"[13,22,44]",52.21,"[13,22,44]",0.018,0.991742895,"[10,11,9]",0.678
3_lines_80_stations,exact,3,40,0.66,"[13,22,44]",52.21,"[13,22,44]",0.018,0.999957892,"[13,15,12]",0.678
3_lines_80_stations,exact,4,10,0.648,"[13,22,36,44]",43.11,"[13,22,36,44]",0.012,0.027610618,"[2,3,2,3]",0.66
3_lines_80_stations,exact,4,20,0.648,"[13,22,36,44]",43.11,"[13,22,36,44]",0.015,0.608380955,"[5,5,4,6]",0.663
3_lines_80_stations,exact,4,30,0.648,"[13,22,36,44]",43.11,"[13,22,36,44]",0.015,0.973754142,"[8,8,6,8]",0.663
3_lines_80_stations,exact,4,40,0.648,"[13,22,36,44]",43.11,"[13,22,36,44]",0.018,0.99949799,"[10,10,9,11]",0.666
3_lines_80_stations,exact,5,10,0.632,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.012,0.019929882,"[2,3,2,2,1]",0.644
