network,method,M,T,stage1_runtime_seconds,stage1_selected_depots,WMRD,stage2_fixed_depots,stage2_runtime_seconds,system_reliability,technician_allocation,total_runtime_seconds
3_lines_80_stations,enumeration,1,10,0.001,[16],87.87,[16],0.0271,0.158629708,[10],0.0281
3_lines_80_stations,enumeration,1,20,0.001,[16],87.87,[16],0.027,0.973032755,[20],0.028
3_lines_80_stations,enumeration,1,30,0.001,[16],87.87,[16],0.0278,0.99999699,[30],0.0288
3_lines_80_stations,enumeration,1,40,0.001,[16],87.87,[16],0.0282,1,[40],0.0292
3_lines_80_stations,enumeration,2,10,0.0081,"[36,44]",66.83,"[36,44]",0.0191,0.081637388,"[6,4]",0.0272
3_lines_80_stations,enumeration,2,20,0.0081,"[36,44]",66.83,"[36,44]",0.0221,0.862415265,"[12,8]",0.0302
3_lines_80_stations,enumeration,2,30,0.0081,"[36,44]",66.83,"[36,44]",0.0251,0.999092473,"[17,13]",0.0332
3_lines_80_stations,enumeration,2,40,0.0081,"[36,44]",66.83,"[36,44]",0.0302,0.999999379,"[23,17]",0.0383
3_lines_80_stations,enumeration,3,10,0.2505,"[13,22,44]",52.21,"[13,22,44]",0.029,0.046829192,"[3,4,3]",0.2795
3_lines_80_stations,enumeration,3,20,0.2505,"[13,22,44]",52.21,"[13,22,44]",0.0842,0.728925903,"[6,8,6]",0.3347
3_lines_80_stations,enumeration,3,30,0.2505,"[13,22,44]",52.21,"[13,22,44]",0.1826,0.991742895,"[10,11,9]",0.4331
3_lines_80_stations,enumeration,3,40,0.2505,"[13,22,44]",52.21,"[13,22,44]",0.3215,0.999957939,"[13,15,12]",0.572
3_lines_80_stations,enumeration,4,10,5.2056,"[13,22,36,44]",43.11,"[13,22,36,44]",0.132,0.027610618,"[2,3,2,3]",5.3376
3_lines_80_stations,enumeration,4,20,5.2056,"[13,22,36,44]",43.11,"[13,22,36,44]",0.5432,0.608380955,"[5,5,4,6]",5.7488
3_lines_80_stations,enumeration,4,30,5.2056,"[13,22,36,44]",43.11,"[13,22,36,44]",1.7842,0.973754142,"[8,8,6,8]",6.9898
3_lines_80_stations,enumeration,4,40,5.2056,"[13,22,36,44]",43.11,"[13,22,36,44]",4.3801,0.999498376,"[10,10,9,11]",9.5857
3_lines_80_stations,enumeration,5,10,85.6372,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",1.1279,0.019929882,"[2,3,2,2,1]",86.7651
3_lines_80_stations,enumeration,5,20,85.6372,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",3.058,0.529122462,"[5,5,4,4,2]",88.6952
3_lines_80_stations,enumeration,5,30,85.6372,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",14.2345,0.944933323,"[7,8,6,6,3]",99.8717
3_lines_80_stations,enumeration,5,40,85.6372,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",44.9459,0.997973803,"[10,9,8,8,5]",130.5831
3_lines_80_stations,enumeration,6,10,2428.5133,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.0762,0.014247845,"[2,2,2,1,2,1]",2428.5895
3_lines_80_stations,enumeration,6,20,2428.5133,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",7.372,0.437002699,"[4,4,5,2,3,2]",2435.8853
3_lines_80_stations,enumeration,6,30,2428.5133,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",85.5388,0.911026876,"[6,6,7,3,5,3]",2514.0521
3_lines_80_stations,enumeration,6,40,2428.5133,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",512.2124,0.994932441,"[8,7,9,5,7,4]",2940.7257
3_lines_80_stations,random/enumeration,7,10,825.9337,"[5,13,16,22,31,44,52]",29.12,"[13,16,22,31,36,44,53]",1.5309,0.009352307,"[2,1,2,1,1,2,1]",827.4646
3_lines_80_stations,random/enumeration,7,20,825.9337,"[5,13,16,22,31,44,52]",29.12,"[13,16,22,31,36,44,53]",25.9456,0.351852895,"[4,3,4,2,2,3,2]",851.8793
3_lines_80_stations,random/enumeration,7,30,825.9337,"[5,13,16,22,31,44,52]",29.12,"[13,16,22,31,36,44,53]",301.3647,0.862209243,"[5,5,6,2,4,5,3]",1127.2984
3_lines_80_stations,random/enumeration,7,40,825.9337,"[5,13,16,22,31,44,52]",29.12,"[13,16,22,31,36,44,53]",2033.5752,0.989419778,"[7,6,8,3,5,7,4]",2859.5089
3_lines_80_stations,random/enumeration,8,10,1273.808,"[4,13,22,31,36,40,44,52]",26.41,"[6,13,16,22,31,36,44,53]",1.6928,0.006290938,"[1,1,1,2,1,1,2,1]",1275.5008
3_lines_80_stations,random/enumeration,8,20,1273.808,"[4,13,22,31,36,40,44,52]",26.41,"[6,13,16,22,31,36,44,53]",31.7364,0.303047967,"[1,3,3,4,2,2,3,2]",1305.5444
