network_size,M,T,depot_id,coverage_size,covered_stations,allocated_technicians,total_demand_in_coverage
245,10,70,16,20,"[14,15,16,17,18,38,39,40,41,93,136,137,138,139,140,141,193,194,195,196]",8,3.63
245,10,70,21,40,"[19,20,21,22,23,24,25,26,27,28,35,36,37,78,79,80,81,82,83,94,95,96,97,115,116,117,162,163,164,165,166,167,168,169,189,190,191,192,233,234]",12,6.23
245,10,70,31,13,"[29,30,31,32,33,34,182,183,184,185,186,187,188]",5,1.78
245,10,70,43,29,"[42,43,44,45,46,47,86,87,88,89,90,91,92,122,123,124,125,170,171,172,173,174,175,176,177,178,179,180,181]",9,3.69
245,10,70,52,10,"[48,49,50,51,52,53,54,55,56,57]",4,1.05
245,10,70,75,41,"[1,2,3,4,5,6,7,8,9,10,11,12,13,73,74,75,76,77,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,227,228,229,230,231,232]",10,4.23
245,10,70,134,41,"[58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,84,85,126,127,128,129,130,131,132,133,134,135,197,198,199,200,201,202,203,204,205,206,207,208,209,210]",8,2.84
245,10,70,145,25,"[118,119,120,121,142,143,144,145,146,147,148,149,150,151,235,236,237,238,239,240,241,242,243,244,245]",6,2.24
245,10,70,156,10,"[152,153,154,155,156,157,158,159,160,161]",4,0.8
245,10,70,221,16,"[211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226]",4,1.19
